" The customer does not exist in the system anymore."," Data pelanggan tidak tersedia lagi dalam sistem."
" [deleted]"," [dihapus]"
" and "," dan "
"%s (Default Template from Locale)","%s (Template Standar dari Lokal)"
"%s cache type(s) disabled.","%s tipe tembolok dinonaktifkan."
"%s cache type(s) enabled.","%s tipe tembolok diaktifkan."
"%s cache type(s) refreshed.","%s tipe tembolok diperbarui."
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(Untuk tipe ""Server Lokal"" harus menggunakan path relatif ke instalasi Magento  var/export atau var/import, contoh var/export, var/import, var/export/direktori/lain, var/import/direktori/lain)"
"(For US 2-letter state names)","(Untuk AS 2-hurup nama negara bagian)"
"(If left empty will be auto-generated)","(Jika dikosongkan akan dihasilkan otomatis)"
"(Leave empty for first spreadsheet)","(Biarkan kosong untuk spreadsheet pertama) "
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produk akan ditambahkan / diperbarui ke toko ini jika kolom 'toko' kosong atau tidak ada dalam file impor .)"
"(Shift-)Click or drag to change value","(Shift-)Klik atau geser untuk merubah nilai"
"(Starting with)","(Dimulai dengan)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Ketika 'Tidak', hanya kolom yang terpetakan akan diimpor. Ketika pemetaan, gunakan 'kolom1', 'kolom2', dst.)"
"(You have to increase php memory_limit before changing this value)","(Anda harus meningkatkan memory_limit php sebelum mengubah nilai ini)"
"(\\t for tab)","(\\t untuk tab)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - Jika pengindekan sedang berlangsung, maka akan dihentikan dan proses pengindekan baru akan dimulai."
"* Required Fields","* Kolom harus diisi"
"- Click on any of the time parts to increase it","- Klik pada salah satu bagian waktu untuk meningkatkannya"
"- Hold mouse button on any of the above buttons for faster selection.","- Tahan tombol mouse pada salah satu tombol di atas untuk seleksi lebih cepat."
"- Use the %s buttons to select month","Gunakan tombol  %s untuk memilih bulan"
"- Use the %s, %s buttons to select year","Gunakan %s, tombol %s untuk memilih tahun"
"- or Shift-click to decrease it","- atau Shift-klik untuk menurunkannya"
"- or click and drag for faster selection.","- atau klik dan tarik untuk pilihan yang lebih cepat."
"-- Not Selected --","-- Tidak dipilih --"
"-- Please Select --","-- Silakan pilih --"
"-- Please Select Billing Agreement--","-- Silakan Pilih Persetujuan Pembayaran--"
"-- Please Select a Category --","-- Silakan Pilih Kategori --"
"-- Please select --","-- Silakan Pilih --"
"--Please Select--","--Silakan Pilih--"
"1 Hour","1 Jam"
"12 Hours","12 Jam"
"12h AM/PM","12J AM/PM"
"2 Hours","2 Jam"
"24 Hours","24 Jam"
"24h","24J"
"2YTD","2YTD"
"6 Hours","6 Jam"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Galat 404 </h1><p>Halaman tidak ditemukan.</p>"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> meminta akses ke akun anda"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Perhatian</strong>: Captcha case sensitive."
"A user with the same user name or email aleady exists.","Pengguna dengan nama pengguna atau alamat surel yang sama sudah ada."
"API Key","API Key"
"API Key Confirmation","Konfirmasi API Key"
"ASCII","ASCII"
"Abandoned Carts","Keranjang yang ditinggalkan"
"About the calendar","Mengenai Kalender"
"Access Denied","Akses ditolak"
"Access denied","Akses ditolak"
"Access denied.","Akses ditolak."
"Account Created in:","Akun dibuat di:"
"Account Created on (%s):","Akun Dibuat pada (%s):"
"Account Created on:","Akun Dibuat pada:"
"Account Information","Informasi akun"
"Account Status","Status Akun"
"Account status","Status akun"
"Action","Aksi"
"Actions","Aksi"
"Actions XML","Aksi XML"
"Active","Aktif"
"Add","Tambah"
"Add Exception","Tambah Eksepsi"
"Add Field Mapping","Tambah Pemetaan Kolom"
"Add Field with URL:","Tambah kolom dengan URL:"
"Add New","Tambah Baru"
"Add New Image","Tambah Gambar Baru"
"Add New Profile","Tambah Profil Baru"
"Add New Role","Tambah Peran Baru"
"Add New Template","Tambah Template Baru"
"Add New URL Rewrite","Tambah URL Rewrite Baru"
"Add New User","Tambah Pengguna baru"
"Add New Variable","Tambah Variabel Baru"
"Add Products","Tambah Produk"
"Add URL Rewrite","Tambah URL Rewrite"
"Add URL Rewrite for a Category","Tambah URL Rewrite untuk sebuah kategori"
"Add URL Rewrite for a Product","Tambah URL Rewrite untuk sebuah produk"
"Add after","Tambah setelah"
"Additional Cache Management","Manajemen Cache Tambahan"
"Address Type:","Jenis Alamat:"
"Admin","Admin"
"Advanced Admin Section","Bagian Admin Lanjutan"
"Advanced Profiles","Pofil Lanjutan"
"Advanced Section","Bagian Lanjutan"
"After authorization application will have access to you account.","Setelah otorisasi aplikasi akan memiliki akses terhadap akun anda."
"All","Semua"
"All Allowed Countries","Semua Negara Yang Diijinkan"
"All Cache","Semua Tembolok"
"All Files","Semua berkas"
"All Reviews","Semua Tinjauan"
"All Store Views","Semua Tampilan Toko"
"All Tags","Semua Tag"
"All Websites","Semua Situs"
"All countries","Semua negara"
"All fields","Semua kolom"
"All possible rates were fetched, please click on ""Save"" to apply","Semua harga yang mungkin telah diambil, silakan klik  ""Simpan"" untuk menerapkan"
"All rates were fetched, please click on ""Save"" to apply","Semua harga telah diambil, klik ""Simpan"" untuk menerapkan"
"All valid rates have been saved.","Semua harga yang berlaku telah disimpan."
"Always (during development)","Selalu (selama pengembangan)"
"Amounts","Jumlah"
"An error has occured while syncronizing media storages.","Terjadi galat ketika sinkronisasi media penyimpanan."
"An error occurred while clearing the JavaScript/CSS cache.","Terjadi galat saat membersihkan tembolok JavaScript / CSS."
"An error occurred while clearing the image cache.","Terjadi galat ketika membersihkan tembolok gambar."
"An error occurred while deleting URL Rewrite.","Terjadi galat ketika menghapus URL Rewrite."
"An error occurred while deleting email template data. Please review log and try again.","Terjadi galat saat menghapus data template surel. Silahkan periksa log dan coba kembali."
"An error occurred while deleting record(s).","Terjadi galat ketika menghapus rekaman."
"An error occurred while deleting this role.","Terjadi galat saat menghapus peran ini."
"An error occurred while deleting this set.","Terjadi grror saat menghapus set ini."
"An error occurred while deleting this template.","Terjadi galat saat menghapus template ini."
