"%s","%s"
"%s role is a special one and can\'t be changed.","%s role is a special one and can\'t be changed."
"%s role is a special one and can\'t be deleted.","%s role is a special one and can\'t be deleted."
"%s role is protected.","%s role is protected."
"ACL Attribute Rules","ACL Attribute Rules"
"ACL Attributes Information","ACL Attributes Information"
"Add","Tambah"
"Add Admin Role","Add Admin Role"
"Add New Role","Tambah Peran Baru"
"Address Type","Address Type"
"Admin","Admin"
"Allow","Allow"
"An error occurred while deleting the role.","An error occurred while deleting the role."
"An error occurred while saving attribute rules.","An error occurred while saving attribute rules."
"An error occurred while saving role.","An error occurred while saving role."
"Api Rules Information","Api Rules Information"
"Assigned","Assigned"
"Associate to Website","Associate to Website"
"Attribute Rules Information","Attribute Rules Information"
"Attribute Set","Atur atribut"
"Attributes","Atribut"
"Automatically Return Credit Memo Item to Stock","Otomatis Mengembalikan Barang Kredit Memo Ke Stok"
"Back","Kembali"
"Backorders","Backorders"
"Base Currency","Mata uang dasar"
"Base Customer Balance","Base Customer Balance"
"Base Discount","Base Discount"
"Base Discount Amount","Base Discount Amount"
"Base Item Subtotal","Base Item Subtotal"
"Base Item Subtotal Including Tax","Base Item Subtotal Including Tax"
"Base Original Price","Base Original Price"
"Base Price","Base Price"
"Base Price Including Tax","Base Price Including Tax"
"Base Shipping","Base Shipping"
"Base Shipping Discount","Base Shipping Discount"
"Base Shipping Tax","Base Shipping Tax"
"Base Subtotal","Base Subtotal"
"Base Subtotal Including Tax","Base Subtotal Including Tax"
"Base Tax Amount","Base Tax Amount"
"Base Total Due","Base Total Due"
"Base Total Paid","Base Total Paid"
"Base Total Refunded","Base Total Refunded"
"Buy Now URL","Buy Now URL"
"Can Be Divided into Multiple Boxes for Shipping","Can Be Divided into Multiple Boxes for Shipping"
"Canceled Qty","Canceled Qty"
"Catalog","Katalog"
"Catalog Product","Catalog Product"
"CatalogInventory","CatalogInventory"
"Category ID","Category ID"
"City","Kota"
"Company","Perusahaan"
"Country","Negara"
"Coupon Code","Kode kupon"
"Create","Buat"
"Create Permanent Redirect for old URL","Buat Permanen diarahkan ke URL lama"
"Created From","Created From"
"Customer","Pelanggan"
"Customer Address","Customer Address"
"Customer Address ID","Customer Address ID"
"Customer Balance","Customer Balance"
"Customer First Name","Nama Awal Pelanggan"
"Customer ID","ID pelanggan"
"Customer Last Name","Nama Akhir Pelanggan"
"Customer Middle Name","Customer Middle Name"
"Customer Prefix","Customer Prefix"
"Customer Suffix","Customer Suffix"
"Default Image","Default Image"
"Delete","Hapus"
"Deny","Deny"
"Disable automatic group change based on VAT ID","Disable automatic group change based on VAT ID"
"Discount","Diskon"
"Discount Amount","Jumlah diskon"
"Discount Description","Discount Description"
"Edit","Sunting"
"Edit %s ACL attribute rules","Edit %s ACL attribute rules"
"Edit Role","Edit Role"
"Edit attribute rules for %s Role","Edit attribute rules for %s Role"
"Email","Surel"
