"%1$s incl tax.","%1$s termasuk pajak."
"* Required Fields","* Kolom harus diisi"
"-- Select --","-- Pilih --"
"Add New Option","Tambah Opsi Baru"
"Add Selection","Tambah Pilihan"
"As Low as","Serendah"
"As low as","Mulai dari"
"Bundle Items","Barang-barang bundel"
"Bundle Product","Bundel Produk"
"Bundle Product View Summary","Bundle Product View Summary"
"Buy %1$s","Beli %1$s"
"Buy %1$s for","Beli %1$s untuk"
"Buy %1$s for %2$s","Beli %1$s untuk%2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Buy %1$s for %2$s (%3$s incl. tax) each"
"Buy %1$s for %2$s each","Beli %1$s untk %2$s masing masing"
"Buy %1$s with %2$s discount each","Beli %1$s dengan %2$s masing- masing diskon"
"Catalog Product View (Bundle)","Tampilan Produk Katalog (Bundle)"
"Checkbox","Checkbox"
"Choose a selection...","Pilih seleksi..."
"Click for price","Klik Untuk Harga"
"Close","Tutup"
"Default","Standar"
"Default Qty","Jumlah Standar"
"Default Title","Judul standar"
"Drop-down","Drop-down"
"Dynamic","Dinamis"
"Excl. Tax","Excl. Tax"
"Excl. Tax:","Excl. Tax:"
"Fixed","Tetap"
"From","Dari"
"From:","Dari:"
"Gift Message","Pesan Hadiah"
"Incl. Tax","Incl. Tax"
"Incl. Tax:","Incl. Tax:"
"Input Type","Masukan Tipe"
"Is Required","Diperlukan"
"Message:","Pesan:"
"Multiple Select","Multi pilihan"
"N/A","N/A"
"No options of this product are available.","Tidak ada pilihan dari produk yang tersedia."
"None","Tidak satupun"
"Percent","Persentasi"
"Percent Discount","Persen Diskon"
"Please Select Products to Add","Silahkan Pilih Produk untuk di Tambah"
"Please enter a number greater 0 in this field.","Please enter a number greater 0 in this field."
"Please enter search conditions to view products.","Silakan masukan kondisi pencarian untuk melihat produk."
"Please select options for product.","Silakan Pilih Opsi Untuk Produk"
"Please specify product option(s).","Silakan tentukan pilihan produk."
"Position","Posisi"
"Price Range","Kisaran Harga"
"Price Type","Tipe harga"
"Price as configured","Harga sebagaimana dikonfigurasi"
"Qty:","Kuantitas:"
"Radio Buttons","Tombol Radio"
"Required options are not selected.","Opsi yang diminta belum dipilih."
"Selected required options are not available.","Pilihan opsi yang diminta tidak tersedia."
"Separately","Terpisah"
"Ship Bundle Items","Mengirimkan barang yang dibundel"
"Shipment","Pengiriman"
"Store View Title","Tampilan Judul Toko"
"There is no defined renderer for ""%s"" option type.","There is no defined renderer for ""%s"" option type."
"This product is also part of bundle(s)","Produk ini juga merupakan bagian dari bundel"
"To","Ke"
"To:","Ke:"
"Together","Bersama"
"Total incl. Tax: %1$s","Total incl. Tax: %1$s"
"Use Default Value","Gunakan nilai standar"
"User Defined Qty","Gunakan Kuantitas yang ditetapkan"
"and","dan"
"each","masing masing"
"save","simpan"
