"""%s"" is not available in the requested quantity. %s of the items will be backordered.","""%s"" is not available in the requested quantity. %s of the items will be backordered."
"%s is available for purchase in increments of %s only.","%stersedia untuk pembelian dengan penambahan sebesar %s saja."
"%s is not a correct comparsion method.","Bukan metode perbandingan yang benar."
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<strong>Dicatat</strong> Bahwa pengaturan ini dapat diaplikasikan ke item garis keranjang, tidak ke seluruh keranjang."
"Add Minimum Qty","Tambahkan kuantitas minimum"
"Allow Qty Below 0","Ijinkan kuantitas dibawah 0"
"Allow Qty Below 0 and Notify Customer","Ijinkan kuantitas dibawah 0 dan notifikasi pelanggan"
"Automatically Return Credit Memo Item to Stock","Otomatis Mengembalikan Barang Kredit Memo Ke Stok"
"Backorders","Backorders"
"By Fixed value","Oleh nilai tetap"
"By Percentage","Oleh persentasi"
"Cannot specify product identifier for the order item.","Tidak bisa menentukan produk pengenal terhadap barang pesanan."
"Catalog Inventory","Inventori Katalog"
"Decrease Stock When Order is Placed","Kurangin Stok Saat Dilakukan Pembelian"
"Display Out of Stock Products","Display Out of Stock Products"
"Display products availability in stock in the frontend","Display products availability in stock in the frontend"
"Enable Qty Increments","Aktifkan Qty Increments"
"In Stock","Tersedia"
"Index Product Stock Status","Index Produk status stok"
"Inventory","Inventori"
"Inventory API","Inventori API"
"Inventory Section","Bagian Inventori"
"Manage Stock","Kelola Stok"
"Maximum Qty Allowed in Shopping Cart","Maksimum Kuantitas yang diperbolehkan dalam cart"
"Minimum Qty","Minimum Qty"
"Minimum Qty Allowed in Shopping Cart","Minimum Kuantitas yang diperbolehkan dalam cart"
"Multi update product stock data","Multi update product stock data"
"No Backorders","Tidak ada Sisa Pesanan"
"Not all products are available in the requested quantity","Tidak semua Produk tersedia pada jumlah yang diminta"
"Notify for Quantity Below","Beritahu untuk Kuantitas Dibawah"
"Only X left Threshold","Hanya X Threshold kiri"
"Out of Stock","Habis"
"Product Stock Options","Produk dari opsi stok"
"Products will still be shown by direct product URLs.","Products will still be shown by direct product URLs."
"Qty Increments","Kuantitas Increments"
"Qty for Item's Status to Become Out of Stock","Qty for Item's Status to Become Out of Stock"
"Retrieve stock data","Menerima data stok"
"Retrieve stock data by product ids","Menerima stok data oleh ID produk"
"Rule price","Aturan harga"
"Set Items' Status to be In Stock When Order is Cancelled","Set status produk menjadi tersedia Ketika order dibatalkan"
"Some of the products are currently out of stock.","Some of the products are currently out of stock."
"Some of the products cannot be ordered in requested quantity.","Some of the products cannot be ordered in requested quantity."
"Some of the products cannot be ordered in the requested quantity.","Beberapa produk tidak dapat dipesan dalam jumlah yang diminta."
"Stock Options","Pilihan Stok"
"Stock Status","Status Stok"
"The maximum quantity allowed for purchase is %s.","The maximum quantity allowed for purchase is %s."
"The minimum quantity allowed for purchase is %s.","The minimum quantity allowed for purchase is %s."
"The requested quantity for ""%s"" is not available.","The requested quantity for ""%s"" is not available."
"The stock item for Product in option is not valid.","Item stok untuk produk pada opsi tidak valid."
"The stock item for Product is not valid.","Item stok untuk produk tidak valid."
"This product is available for purchase in increments of %s only.","Produk ini tersedia untuk pembelian dalam increments dari hanya %s ."
"This product is currently out of stock.","This product is currently out of stock."
"This product is not available in the requested quantity. %s of the items will be backordered.","This product is not available in the requested quantity. %s of the items will be backordered."
"To Fixed Value","Ke Nilai Tetap"
"To Percentage","Ke Persentasi"
"Undefined product type.","Tipe produk tidak didefinisikan."
"Update","Perbarui"
"Update product stock data","Perbarui data stok produk"
"Update the Product","Perbarui Produk"
