"Collected Files Count","file yang dikumpulkan dihitung"
"Compilation","Kompilasi"
"Compilation State","Keadaan Kompilasi"
"Compilation error","Kompilasi eror"
"Compiled","Dikompilasi"
"Compiled Scopes Count","Lingkup menghitung dikompilasi"
"Compiler Status","Status Kompilator"
"Compiler include path is disabled.","Kompilator termasuk jalur tidak aktif."
"Compiler include path is enabled.","Kompilator termasuk jalur aktif."
"Directory ""%s"" must be writeable","Directory ""%s"" must be writeable"
"Disable","Disable"
"Disabled","Non aktif"
"Enable","Aktifkan"
"Enabled","Aktif"
"File ""%s"" must be writeable","File ""%s"" must be writeable"
"Not Compiled","Tidak Dikompilasi"
"Run Compilation Process","Jalankan Proses Kompilasi"
"Scopes Compilation Settings","Lingkup pengaturan kompilasi"
"System","System"
"The compilation has completed.","kompilasi telah selesai."
"Tools","Alat"
