"%s","%s"
"%s already exist.","%s sudah ada."
"%s already exists.","%s sudah ada."
"-- Please Select --","-- Silakan pilih --"
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">Peringatan!</strong> Ketika menggunakan CDN, pada beberapa kasus JavaScript mungkin tidak berjalan baik jika CDN tidak dalam subdomain"
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.)."
"A category object is required for determining the product request path.","Objek kategori diperlukan untuk menentukan jalur permintaan produk."
"Add Block Names to Hints","Tambahkan Nama Blok Untuk Petunjuk"
"Add Secret Key to URLs","Tambahkan kunci rahasia ke URLs"
"Add Store Code to Urls","Tambahkan kode toko ke URLs"
"Admin","Admin"
"Admin Base URL","Admin Berdasarkan URL"
"Admin User Emails","Admin Email Pengguna"
"Advanced","Lanjutan"
"After selecting a new media storage location, press the Synchronize button
                                to transfer all media to that location. Media will not be available in the new
                                location until the synchronization process is complete.","After selecting a new media storage location, press the Synchronize button
                                to transfer all media to that location. Media will not be available in the new
                                location until the synchronization process is complete."
"Allow Countries","Ijinkan negara"
"Allow Symlinks","Diperbolehkan symlink"
"Allowed IPs (comma separated)","Diperbolehkan IPs (dipisahkan koma)"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!"
"Allows customers to stay logged in when switching between different stores.","Memungkinkan pelanggan untuk tetap masuk bila beralih diantara toko yang berbeda."
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Alternative text for next link in pagination menu. If empty, default arrow image will used."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Alternative text for previous link in pagination menu. If empty, default arrow image will used."
"An error occurred while saving. Please review the error log.","An error occurred while saving. Please review the error log."
"Anchor Text for Next","Teks Jangkar untuk Selanjutnya"
"Anchor Text for Previous","Teks Jangkar untuk Sebelumnya"
"Anchor symbol (#) is not supported in request path","anchor simbol (#) tidak didukung di jalur permintaan"
"Anchor symbol (#) is not supported in url rewrite suffix","anchor symbol (#) tidak di dukung dalam akhiran penulisan ulang url"
"Are you sure?","Apakah anda yakin?"
"Auto-redirect to Base URL","Otomatis mengarahkan ke URL Dasar"
"Back","Kembali"
"Backup Options","Pilihan Cadangan"
"Base JavaScript URL","Dasar URL JavaScript"
"Base Link URL","Tautan dasar URL"
