" or "," atau "
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' sepertinya berupa DNS hostname tapi tidak dapat ekstrak bagian TLD"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' sepertinya berupa DNS hostname tetapi tidak dapt mencocokan TLD dengan list yang diketahui"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' sepertinya berupa DNS hostname tapi tidak cocok terhadap skema hostname untuk TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' sepertinya berupa DNS hostname tetapi berisi tanda strip pada posisi yang tidak valid"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' sepertinya berupa DNS hostname tapi notasi punycode yang diberikan tidak dapat dibaca"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' sepertinya berupa nama jaringan lokal tetapi nama jaringan lokal tidak diperbolehkan"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' sepertinya berupa alamat IP, tapi alamat IP tidak diijinkan"
"'%value%' does not appear to be a valid local network name","'%value%' bukan berupa nama jaringan lokal yang valid"
"* Required Fields","* Kolom harus diisi"
"ALL GROUPS","SEMUA GRUP"
"Account Dashboard","Dasbor Akun"
"Account Information","Informasi Akun"
"Account Sharing Options","Pilihan Berbagi Akun"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Konfirmasi akun diperlukan. Periksa surel untuk tautan konfirmasi. Kirim ulang surel konfirmasi silakan <a href=""%s"">klik disini</a>."
"Action","Aksi"
"Add New Address","Tambah Alamat Baru"
"Add New Customer","Tambah Pelanggan Baru"
"Add New Customer Group","Tambah Grup Pelanggan Baru"
"Added From","Ditambahkan Dari"
"Additional Address Entries","Entri Alamat Tambahan"
"Address","Alamat"
"Address Book","Buku Alamat"
"Address Books","Buku Alamat"
"Address Information","Informasi Alamat"
"Address Templates","Templat Alamat"
"Addresses","Alamat"
"Admin","Admin"
