"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Tautan</a>"
"Actions XML is not valid.","Actions XML tidak valid."
"An error occurred while opening file: ""%s"".","Galat terjadi ketika membuka berkas: ""%s""."
"Could not load file: ""%s"".","Tidak dapat memuat berkas: ""%s""."
"Could not save file: %s.","Tidak dapat menyimpan berkas: %s."
"Declared adapter %s was not found.","Adaptor %s yang dideklarasikan tidak ditemukan."
"Destination folder ""%s"" is not a directory.","Destinasi folder ""%s"" bukanlah direktori."
"Destination folder ""%s"" is not writable.","Destinasi folder ""%s"" tidak dapat ditulis."
"Done","Selesai"
"Dry run set, stopping execution.","Dry run set, menghentikan eksekusi."
"ETA: %s","ETA: %s"
"Error in field mapping: field list for mapping is not defined.","Galat pada mapping field: Daftar field untuk mapping tidak didefinisikan."
"File ""%s"" does not exist.","Berkas ""%s"" tidak ditemukan."
"Found %d rows.","Ditemukan %d baris."
"Less than a minute","Kurang dari 1 menit"
"Loaded successfully: ""%s"".","Loaded successfully: ""%s""."
"Memory Used: %s","Memori Digunakan: %s"
"Method ""%s"" not defined in adapter %s.","Metode ""%s"" tidak didefinisikan pada adapter %s."
"Method ""%s"" was not defined in adapter %s.","Metode ""%s"" tidak terdefinisi dalam adapter %s."
"Please declare ""adapter"" and ""method"" nodes first.","Deklarasikan node ""adapter"" dan ""method"" terlebih dahulu."
"Processed records: %s","Catatan Terproses: %s"
"Profile with the same name already exists.","Profil dengan nama yang sama ditemukan."
"Saved successfully: ""%s"" [%d byte(s)].","Saved successfully: ""%s"" [%d byte(s)]."
"Sheet 1","Lembar 1"
"Skip undefined row.","Lewati baris tidak didefinisikan."
"Starting %s :: %s","Memulai %s :: %s"
"The destination folder ""%s"" does not exist or there is no access to create it.","The destination folder ""%s"" does not exist or there is no access to create it."
"Total records: %s","Total catatan: %s"
"hour","jam"
"hours","jam"
"minute","menit"
"minutes","menit"
