"""%s"" contains not only digit characters.","""%s"" contains not only digit characters."
"""%s"" does not fit the entered date format.","""%s"" does not fit the entered date format."
"""%s"" exceeds the allowed file size.","""%s"" exceeds the allowed file size."
"""%s"" exceeds the allowed length.","""%s"" exceeds the allowed length."
"""%s"" has not only alphabetic and digit characters.","""%s"" has not only alphabetic and digit characters."
"""%s"" has not only alphabetic characters.","""%s"" has not only alphabetic characters."
"""%s"" height exceeds allowed value of %s px.","""%s"" height exceeds allowed value of %s px."
"""%s"" invalid type entered.","""%s"" invalid type entered."
"""%s"" is a required value.","""%s"" is a required value."
"""%s"" is an empty string.","""%s"" is an empty string."
"""%s"" is not a valid URL.","""%s"" is not a valid URL."
"""%s"" is not a valid date.","""%s"" is not a valid date."
"""%s"" is not a valid email address.","""%s"" is not a valid email address."
"""%s"" is not a valid file","""%s"" is not a valid file"
"""%s"" is not a valid file extension.","""%s"" is not a valid file extension."
"""%s"" is not a valid file.","""%s"" is not a valid file."
"""%s"" is not a valid hostname.","""%s"" is not a valid hostname."
"""%s"" is not a valid image format","""%s"" is not a valid image format"
"""%s"" length must be equal or greater than %s characters.","""%s"" length must be equal or greater than %s characters."
"""%s"" length must be equal or less than %s characters.","""%s"" length must be equal or less than %s characters."
"""%s"" width exceeds allowed value of %s px.","""%s"" width exceeds allowed value of %s px."
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' sepertinya berupa DNS hostname tapi tidak dapat ekstrak bagian TLD"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' sepertinya berupa DNS hostname tetapi tidak dapt mencocokan TLD dengan list yang diketahui"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' sepertinya berupa DNS hostname tapi tidak cocok terhadap skema hostname untuk TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' sepertinya berupa DNS hostname tetapi berisi tanda strip pada posisi yang tidak valid"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' sepertinya berupa DNS hostname tapi notasi punycode yang diberikan tidak dapat dibaca"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' sepertinya berupa nama jaringan lokal tetapi nama jaringan lokal tidak diperbolehkan"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' sepertinya berupa alamat IP, tapi alamat IP tidak diijinkan"
"'%value%' does not appear to be a valid URI hostname","'%value%' tidak muncul menjadi sebuah URL hostname yang valid"
"'%value%' does not appear to be a valid local network name","'%value%' bukan berupa nama jaringan lokal yang valid"
"'%value%' does not match the expected structure for a DNS hostname","'%value%' tidak cocok dengan struktur yang diharapkan untuk DNS hostname"
"A joint field with this alias (%s) is already declared","Sebuah field gabungan dengan alias ini (%s) sudah dinyatakan"
"Add Option","Tambah Opsi"
"An error occurred while loading a record, aborting. Error: %s","An error occurred while loading a record, aborting. Galat: %s"
"An error occurred while loading the collection, aborting. Error: %s","An error occurred while loading the collection, aborting. Galat: %s"
"An error occurred while saving a record, aborting. Error: ","An error occurred while saving a record, aborting. Error: "
"Attempt to add an invalid object","Mencoba untuk menambahkan objek yang tidak valid"
"Attribute '%s' used in configurable products","Atribut '%s' digunakan dalam produk yang dapat dikonfigurasi"
"Attribute Code","Kode Atribut"
"Attribute Label","Label Atribut"
"Attribute Properties","Properti Atribut"
"Attribute object is undefined","Atribut objek tidak terdefinisi"
"Attribute set with the ""%s"" name already exists.","Attribute set with the ""%s"" name already exists."
"Attribute with the same code","Atribut dengan kode yang sama"
"Can\'t create table: %s","tidak dapat\dapat membuat tabel: %s"
"Catalog Input Type for Store Owner","Tipe input katalog untuk pemilik toko"
"Current module EAV entity is undefined","Entitas Modul EAV saat ini tidak terdefinisi"
"Current module pathname is undefined","Nama path modul saat initidak terdefinisi"
"Data integrity: No header row found for attribute","Integritas data: Tidak ada baris judul ditemukan untuk atribut"
"Date","Tanggal"
"Decimal Number","Nomor desimal"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Default Product Listing Sort by does not exist in Available Product Listing Sort By."
"Default Value","Nilai Acuan"
"Default option value is not defined","Nilai pilihan standar tidak ditentukan"
"Delete","Hapus"
"Dropdown","Dropdown"
"Email","Email"
"Entity collection expected.","Koleksi entitas yang diharapkan."
"Entity collections expected.","Koleksi entitas yang diharapkan."
"Entity instance is not defined","Contoh entitas tidak terdefinisi"
"Entity is not initialized","Entitas tidak terinisialisasi"
"Entity object is undefined","Objek entitas tidak terdefinisi"
"Failed to load node %s from config","Gagal memuat simpul %s dari config"
"For internal use. Must be unique with no spaces. Maximum length of attribute code must be less then %s symbols","Untuk penggunaan internal. Must be unique with no spaces. Panjang maksimum dari kode atribut harus kurang dari %s symbol"
"Form Element with the same attribute","Form Element dengan atribut yang sama"
"Form Fieldset with the same code","Form Fieldset dengan kode yang sama"
