"%s file does not exists or is not readable","%s file does not exists or is not readable"
"-- Please Select --","-- Silakan pilih --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","Adapter harus merupakan contoh Mage_ImportExport_Model_Import_Adapter_Abstract"
"Adapter object must be an instance of %s","Adapter object must be an instance of %s"
"Adapter type must be a non empty string","Jenis Adapter harus serangkaian yang tidak kosong"
"Append Complex Data","Append Complex Data"
"Attribute Code","Kode Atribut"
"Attribute Label","Label Atribut"
"Attribute does not has options, so filtering is impossible","Attribute does not has options, so filtering is impossible"
"Begin data validation","Begin data validation"
"Begin export of %s","Begin export of %s"
"Begin import of ""%s"" with ""%s"" behavior","Begin import of ""%s"" with ""%s"" behavior"
"CSV","CSV"
"Can not determine attribute filter type","Tidak bisa menentukan jenis atribut filter"
"Can not find required columns: %s","Can not find required columns: %s"
"Cannot get autoincrement value","Cannot get autoincrement value"
"Check Data","Cek data"
"Checked rows: %d, checked entities: %d, invalid rows: %d, total errors: %d","Checked rows: %d, checked entities: %d, invalid rows: %d, total errors: %d"
"Column names have duplicates","Nama kolom memiliki duplikat"
"Column names is empty or is not an array","Nama kolom kosong atau tidak ada di susunan"
"Column names: ""%s"" are invalid","Column names: ""%s"" are invalid"
"Customers","Pelanggan"
"Data is invalid or file is not uploaded","Data tidak valid atau file tidak diunggah"
"Delete Entities","Delete Entities"
"Destination directory is not writable","Direktori yang dituju tidak dapat ditulis"
"Destination file is not writable","file yang dituju tidak dapat ditulis"
"Destination file path must be a string","Jalur file tujuan harus sebuah rangkaian"
"Done import data validation","Done import data validation"
"Duplicate Unique Attribute for '%s'","Duplicate Unique Attribute for '%s'"
"Entity Type","Tipe Entitas"
"Entity adapter obejct must be an instance of Mage_ImportExport_Model_Export_Entity_Abstract","Entity adapter obejct must be an instance of Mage_ImportExport_Model_Export_Entity_Abstract"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","Entitas objek adaptor harus menjadi contoh Mage_ImportExport_Model_Import_Entity_Abstract"
"Entity is unknown","Entitas tidak diketahui"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Jenis model entitas harus sebuah contoh dari Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Jenis model entitas harus sebuah contoh dari Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract"
"Error in data structure: behaviors are mixed","Error pada struktur data: Perilaku yang dicampur"
"Error in data structure: entity codes are mixed","Error pada Struktur data: kode entitas dicampur"
"Errors limit (%d) reached. Please fix errors and re-upload file","Errors limit (%d) reached. Silakan perbaiki Error dan unggah kembali file"
"Export","Ekspor"
"Export File Format","Export File Format"
"Export Settings","Export Settings"
"Export has been done.","Export has been done."
"Exported %s rows.","Exported %s rows."
"File does not contain data.","File does not contain data."
"File does not contain data. Please upload another one","File does not contain data. Please upload another one"
"File format is unknown","Format file tidak diketahui"
"File is partially valid, but import is not possible","file ini sebagian valid, tetapi impor tidaklah mungkin"
"File is totally invalid. Please fix errors and re-upload file","File is totally invalid. Silakan perbaiki Error dan unggah kembali file"
"File is valid! To start import process press ""Import"" button","File is valid! To start import process press ""Import"" button"
"File is valid, but import is not possible","file ini valid, tetapi impor tidaklah mungkin"
"File was not uploaded","File was not uploaded"
"Filter","Filter"
"From","Dari"
"Header column names already set","Nama kolom header telah diatur"
"Import","Impor"
"Import Behavior","Import Behavior"
"Import Settings","Import Settings"
"Import has been done successfuly.","Import has been done successfuly."
"Import successfully done.","Impor berhasil dilakukan."
"Import/Export","Impor/Ekspor"
"Input entity code is not equal to entity adapter code","Memasukan kode entitas tidak sama dengan entitas kode adaptor"
"Invalid entity","Entitas Tidak valid"
"Invalid entity model","Model entitas tidak berlaku"
"Invalid file format","Format file tidak valid"
"Invalid parameters","Parameter tidak valid"
"Invalid seek position","Posisi pencarian tidak valid"
"Invalid value for '%s'","Nilai tidak valid untuk '%s'"
"Invalid value for '%s' column","Invalid value for '%s' column"
"No filter data provided","Tidak ada Data filter  tersedia"
"No source specified","Tidak ada sumber ditentukan"
"No valid data sent","Tidak ada data yang valid dikirim"
"No writer specified","Tidak ada penulis ditentukan"
"Node does not has model token tag","Simpul tidak memiliki tag Model Token"
"Not implemented yet","Belum diimplementasikan"
"Please fix errors and re-upload file","Silakan perbaiki Error dan unggah kembali file"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors"
"Products","Produk"
"Replace Existing Complex Data","Replace Existing Complex Data"
"Select File to Import","Select File to Import"
"Skip","Skip"
"Source file moving failed","Pemindahan file sumber gagal"
"Source file path must be a string","Sumber jalur file harus sebuah rangkaian"
"Source is not set","Sumber tidak diatur"
"Status","Status"
"There are no product types available for export","Tidak ada jenis produk yang tersedia untuk diekspor"
"There is no data for export","There is no data for export"
"To","Ke"
"Total size of uploadable files must not exceed %s","Ukuran total file diunggah tidak boleh melebihi %s"
"Unknown attribute filter type","Unknown attribute filter type"
"Uploaded file has no extension","file yang diunggah tidak memiliki ekstensi"
"Validation finished successfully","Validation finished successfully"
"in rows","in rows"
"in rows:","in rows:"
