"3D Secure","Keamanan 3D'"
"3D Secure Card Validation","Validasi kartu keamanan 3D"
"API Login ID","API ID masuk"
"Accepted Currency","Kurs yang diterima"
"Allow Partial Authorization","Mengizinkan Otorisasi parsial"
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.","Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment."
"Authorize Only","Hanya otorisasi"
"Authorize and Capture","Otorisasi dan ambil"
"Authorize.Net Transaction ID %s","Authorize.Net ID transaksi%s"
"Authorize.net","Authorize.net"
"Cancel","Batal"
"Centinel API URL","Centinel API URL"
"Credit Card Types","Jenis Kartu Kredit"
"Credit Card Verification","Verifikasi Kartu Kredit"
"Credit Card: xxxx-%s","Kartu Kredit: xxxx-%s"
"Debug","Debug"
"Email Customer","Email Pelanggan"
"Enabled","Aktif"
"Error in payment gateway.","Error pada gateway pembayaran"
"Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s).","Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s)."
"Gateway error: %s","Gateway Error: %s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement."
"Invalid amount for authorization.","Jumlah tidak valid untuk otorisasi."
"Invalid amount for capture.","Jumlah tidak valid untuk pengambilan."
"Invalid amount for partial authorization.","Jumlah tidak valid untuk otorisasi parsial."
"Invalid amount for refund.","Jumlah tidak valid untuk pengembalian."
"Invalid split tenderId ID.","Yang tidak valid memisahkan tenderId ID."
"Maximum Order Total","Total pesanan maksimum"
"Merchant's Email","Merchant's Email"
"Minimum Order Total","Total pesanan minimum"
"New Order Status","Status Pesanan Baru"
"Parent Authorize.Net transaction (ID %s) expired","Parent Authorize.Net transaction (ID %s) expired"
"Payment Action","Aksi pembayaran"
"Payment authorization error.","Error otorisasi pembayaran"
"Payment canceling error.","Error pembatalan pembayaran."
"Payment capturing error.","Error Pengambilan Pembayaran."
"Payment from Applicable Countries","Pembayaran dari Negara tertentu"
"Payment from Specific Countries","Pembayaran dari Negara tertentu."
"Payment partial authorization error.","Error otorisasi Pembayaran Parsial."
"Payment refunding error.","Error Pengembalian Pembayaran."
"Payment updating error.","Perbaruan Pembayaran error."
"Payment voiding error.","Error Pembatalan Pembayaran."
"Processed Amount","Jumlah yang diproses"
"Remaining Balance","Sisa Saldo"
"Severe 3D Secure Card Validation","Validasi Kartu yang berat keamanan 3D"
"Severe Validation Removes Chargeback Liability on Merchant","Validasi yang berat Menghapus Kewajiban Pembayaran balik pada Pedagang"
"Shopping cart contents and/or address has been changed.","Isi cart dan / atau alamat telah berubah."
"Sort Order","Urutan sortir"
"Test Mode","Mode tes"
"The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, click Cancel.","The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, click Cancel."
"There was an error canceling transactions. Please contact us or try again later.","There was an error canceling transactions. Please contact us or try again later."
"Title","Judul"
"Transaction Key","Kunci transaksi"
"You have reached the maximum number of credit card allowed to be used for the payment.","Anda telah mencapai jumlah maksimum kartu kredit diperbolehkan digunakan untuk pembayaran."
"You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released.","You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released."
"Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method.","Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method."
"Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents.","Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents."
"Your payment has been cancelled. All authorized amounts have been released.","Your payment has been cancelled. All authorized amounts have been released."
"amount %s","jumlah %s"
"authorize","Otorisasi"
"authorize and capture","Otorisasi dan ambil"
"capture","ambil"
"failed","Gagal"
"refund","Pembayaran kembali"
"successful","berhasil"
"void","Batal"
