"-OR-","-ATAU-"
"2-pixel perimeter around the header space.","2-piksel perimeter disekitar ruang header."
"3D Secure","Keamanan 3D'"
"3D Secure Card Validation","Validasi kartu keamanan 3D"
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>"
"A case that has been resolved and close requires a reimbursement.","A case that has been resolved and close requires a reimbursement."
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof."
"A reversal has occurred on this transaction because you have given the customer a refund.","A reversal has occurred on this transaction because you have given the customer a refund."
"A reversal has occurred on this transaction due to a chargeback by your customer.","A reversal has occurred on this transaction due to a chargeback by your customer."
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","A reversal has occurred on this transaction due to a complaint about the transaction from your customer."
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","A reversal has occurred on this transaction due to your customer triggering a money-back guarantee."
"A value is required for live mode. Refer to your CardinalCommerce agreement.","A value is required for live mode. Refer to your CardinalCommerce agreement."
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH Deposit (Tahan selama Sengketa atau Investigasi Lainnya)"
"ACH Deposit (Reversal)","ACH Deposit (Pembalikan)"
"ACH Funding for Funds Recovery from Account Balance","Pendanaan ACH untuk Dana Pemulihan dari Saldo Rekening"
"ACH Withdrawal","Penarikan ACH"
"API Authentication Methods","Metode Otentikasi API"
"API Certificate","Sertifikat API"
"API Password","Kata sandi API"
"API Signature","Tanda tangan API"
"API Username","Nama sandi API"
"API Uses Proxy","Proxy pengguna API"
"Ability for buyer to purchase without PayPal account.","Kemampuan pembeli untuk membeli tanpa akun PayPal."
"Accept credit card and PayPal payments securely.","Accept credit card and PayPal payments securely."
"Accept credit cards, debit cards and PayPal payments securely.","Accept credit cards, debit cards and PayPal payments securely."
"Accept payments in your shopping cart. PayPal will process your card payments through the Payflow Gateway.","Accept payments in your shopping cart. PayPal will process your card payments through the Payflow Gateway."
"Accept payments with a PCI compliant checkout that keeps customers on your site.","Accept payments with a PCI compliant checkout that keeps customers on your site."
"Accept payments with a PCI-compliant checkout that keeps customers on your site.","Accept payments with a PCI-compliant checkout that keeps customers on your site."
"Accept payments with a completely customizable checkout page.","Accept payments with a completely customizable checkout page."
"Accept payments with a completely customizable checkout.","Accept payments with a completely customizable checkout."
"Acceptance Mark","Tanda Penerimaan"
"Acceptance Mark Image","Gambar tanda penerimaan"
"Account-to-Account Payment, initiated by PayPal","Pembayaran akun ke akun, diprakarsai oleh PayPal"
"Add PayPal as an additional payment method to your checkout page to increase your sales.","Add PayPal as an additional payment method to your checkout page to increase your sales."
"Add PayPal as an additional payment method to your checkout page.","Add PayPal as an additional payment method to your checkout page."
"Add another payment method to your existing solution or as a stand-alone option.","Add another payment method to your existing solution or as a stand-alone option."
"Additional Options","Pilihan tambahan"
"Address","Alamat"
"Address Verification System Response","Respon sistem verifikasi alamat"
"Advanced Settings","Pengaturan lanjutan"
"All the address information matched","Semua informasi alamat sesuai"
"Allow in Billing Agreement Wizard","Ijinkan panduan persetujuan pembayaran"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile)."
"Allowed Credit Card Types","Ijinkan jenis kartu kredit."
"Also affects mini-shopping cart.","Juga mempengaruhi cart-mini."
"Ask Customer","Tanya pelanggan"
"Attempted Authentication, Bad Result","Percobaan Otentikasi, Hasil Buruk"
"Attempted Authentication, Good Result","Percobaan Otentikasi, Hasil Bagus"
"Auction Payment other than through eBay","Pemabayaran Lelang selain melalui eBay"
"Authenticated, Bad Result","Otentifikasi, Hasil buruk"
"Authenticated, Good Result","Otentifikasi, Hasil baik"
"Authorization","Otorisasi"
"Authorization Honor Period (days)","Periode Otorisasi Kehormatan (hari)"
"Authorization expired.","Authorization expired."
"Authorization transaction is required to void.","Otorisasi transaksi diperlukan untuk batal."
"Authorization was voided by merchant.","Authorization was voided by merchant."
"Authorized amount of %s.","otorisasi jumlah dari %s."
"Authorizing amount of %s is pending approval on gateway.","otorisasi jumlah dari %s ini sedang dalam proses persetujuan pada gateway "."
"Auto","Otomatis"
"AutoSweep","AutoSweep"
"Available Balance","Saldo tersedia"
"Balance Manager Account Bonus","Bonus Saldo Manajer Akun"
"Basic Settings - PayPal Express Checkout","Basic Settings - PayPal Express Checkout"
"Basic Settings - PayPal Integral Evolution","Basic Settings - PayPal Integral Evolution"
"Basic Settings - PayPal Pasarela integral","Basic Settings - PayPal Pasarela integral"
"Basic Settings - PayPal Payflow Link","Basic Settings - PayPal Payflow Link"
"Basic Settings - PayPal Payflow Pro","Basic Settings - PayPal Payflow Pro"
"Basic Settings - PayPal Payments Advanced","Basic Settings - PayPal Payments Advanced"
"Basic Settings - PayPal Payments Pro","Basic Settings - PayPal Payments Pro"
"Basic Settings - PayPal Payments Pro Hosted Solution","Basic Settings - PayPal Payments Pro Hosted Solution"
"Basic Settings - PayPal Payments Standard","Basic Settings - PayPal Payments Standard"
"Basic Settings - PayPal Pro","Basic Settings - PayPal Pro"
"Basic Settings - PayPal Website Payments Plus","Basic Settings - PayPal Website Payments Plus"
"Basic Settings - PayPal Website Payments Pro","Basic Settings - PayPal Website Payments Pro"
