"ALL","SEMUA"
"ANY","SETIAP"
"Add","Tambah"
"Apply","Terapkan"
"Conditions Combination","Kombinasi Kondisi"
"Customer Groups must be specified.","Customer Groups must be specified."
"End Date must be greater than Start Date.","End Date must be greater than Start Date."
"FALSE","SALAH"
"If %s of these conditions are %s:","Jika kondisi %s adalah %s:"
"Invalid discount amount.","Jumlah diskon tidak valid."
"Open Chooser","Buka Pilihan"
"Perform following actions","Lakukan Aksi Berikut"
"Please choose a condition to add...","Pilih sebuah kondisi untuk ditambahkan..."
"Please choose an action to add...","Pilih sebuah aksi untuk ditambahkan..."
"Remove","Hapus"
"TRUE","BENAR"
"There is no information about associated entity type ""%s"".","There is no information about associated entity type ""%s""."
"Websites must be specified.","Website harus disebut."
"by","Berdasarkan"
"contains","berisi"
"does not contain","tidak berisi"
"does not contains","does not contains"
"equals or greater than","sama dengan atau lebih besar"
"equals or less than","Sama atau kurang dari"
"for","for"
"for greater than","for greater than"
"for or greater than","for or greater than"
"found","found"
"from","dari"
"greater than","lebih besar dari"
"is","adalah"
"is not","bukan"
"is not one of","bukan salah satu dari"
"is one of","adalah salah satu"
"less than","kurang dari"
"not found","not found"
"not from","bukan dari"
"to","sampai"
"was","was"
"was not","was not"
