"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled."
"%s Coupon(s) have been generated","%s Coupon(s) have been generated"
"Actions","Aksi"
"Active","Aktif"
"Add New Rule","Tambah aturan baru"
"Alphabetical","Alphabetical"
"Alphanumeric","Alphanumeric"
"An error occurred while generating coupons. Please review the log and try again.","An error occurred while generating coupons. Please review the log and try again."
"Apply","Terapkan"
"Apply To","Terapkan ke"
"Apply the rule only if the following conditions are met (leave blank for all products)","Terapkan aturan jika kondisi berikut terpenuhi (biarkan kosong untuk semua produk)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Terapkan aturan hanya untuk barang keranjang yang cocok dengan kondisi berikut (biarkan kosong untuk semua barang)"
"Apply the rule to cart items matching the following conditions","Terapkan aturan untuk barang keranjang yang cocok dengan kondisi berikut"
"Apply to Shipping Amount","Terapkan ke akun pengiriman"
"Are you sure you want to delete the selected coupon(s)?","Are you sure you want to delete the selected coupon(s)?"
"Auto","Otomatis"
"Auto Generated Specific Coupon Codes","Auto Generated Specific Coupon Codes"
"Buy X get Y free (discount amount is Y)","Beli X  mendapatkan gratis  Y  (jumlah diskon adalah Y)"
"By Fixed value","Oleh nilai tetap"
"By Percentage","Oleh persentasi"
"Can\'t acquire coupon.","Tidak bisa mendapatkan kupon."
"Cart Attribute","Atribut keranjang"
"Catalog","Katalog"
"Code Format","Code Format"
"Code Length","Code Length"
"Code Prefix","Code Prefix"
"Code Suffix","Code Suffix"
"Conditions","Kondisi"
"Conditions combination","Kombinasi kondisi"
"Coupon","Kupon"
"Coupon Code","Kode kupon"
"Coupon Qty","Coupon Qty"
"Coupon with the same code","Coupon with the same code"
"Coupons Information","Coupons Information"
"Created On","Dibuat Pada"
"Customer Groups","Grup Pelanggan"
"Dash Every X Characters","Dash Every X Characters"
"Date Expire","Masa kadaluarsa"
"Date Start","Tanggal mulai"
"Default Label","Label standar"
"Default Rule Label for All Store Views","Label aturan standar untuk semua tampilan toko"
"Description","Deskripsi"
"Discount Amount","Jumlah diskon"
"Discount Qty Step (Buy X)","Langkah kuantitas diskon (Beli X)"
"Edit Rule","Sunting aturan"
"Edit Rule '%s'","Sunting aturan '%s'"
"Excluding prefix, suffix and separators.","Excluding prefix, suffix and separators."
"FOUND","DITEMUKAN"
"Fixed amount discount","Diskon jumlah tetap"
