" was not delivered nor scanned"," was not delivered nor scanned"
"""Per Order"" allows single handling fee for entire order. ""Per Package"" allows individual  handling fee for each package.","""Per Order"" allows single handling fee for entire order. ""Per Package"" allows individual  handling fee for each package."
"1 Day Freight","Kargo 1 Hari"
"2 Day","2 Hari"
"2 Day AM","2 Day AM"
"2 Day Freight","Kargo 2 Hari"
"2Day","2Hari"
"2nd Day Air","Penerbangan Hari ke 2"
"2nd Day Air AM","Penerbangan Hari ke 2 AM"
"2nd Day Air AM Letter","Penerbangan Hari ke 2 surat AM"
"2nd Day Air Letter","Penerbangan Hari ke 2 surat AM"
"3 Day Freight","Kargo 3 Hari"
"3 Day Select","Pilih 3 hari"
"Access ID","ID Akses"
"Access License Number","Nomor Lisensi Akses"
"Account ID","Id Akun"
"Account Number","Nomor Akun"
"Additional Protection Configuration Value","Perlindungan Tambahan Nilai Konfigurasi"
"Additional Protection Enabled","Perlindungan Tambahan Aktif"
"Additional Protection Min Subtotal","Perlindungan tambahan Min Subtotal"
"Additional Protection Value","Nilai perlindungan tambahan"
"Additional Protection Value Rounding Method","Perlindungan Tambahan Nilai Metode Pembulatan"
"Adult","Dewasa"
"Adult Signature Required","Tanda tangan orang dewasa Diperlukan"
"Allowed Methods","Diijinkan Metode"
"Allows breaking total order weight into smaller pieces if it exeeds %s %s to ensure accurate calculation of shipping charges.","Allows breaking total order weight into smaller pieces if it exeeds %s %s to ensure accurate calculation of shipping charges."
"Allows breaking total order weight into smaller pieces if it exeeds 70 kg to ensure accurate calculation of shipping charges.","Allows breaking total order weight into smaller pieces if it exeeds 70 kg to ensure accurate calculation of shipping charges."
"Break bulk economy","Break bulk economy"
"Break bulk express","Break bulk express"
"Business Service Center","Pusat Pelayanan Bisnis"
"Calculate Handling Fee","Biaya Penanganan"
"Canada Standard","Standar Kanada"
"Cannot identify measure unit for %s","Cannot identify measure unit for %s"
"Cannot identify weight unit for %s","Cannot identify weight unit for %s"
"Cannot retrieve shipping rates","Tidak dapat menerima biaya pengiriman"
